identificador,precio_lici,precio_adj_sin_imp,tipo_cont,tipo_pro
7025783,34305.16,15542.63,Servicios,Abierto simplificado
7025784,48471.7,27841.36,Suministros,Abierto
7025795,40432.94,28000.0,Servicios,Abierto simplificado
7025800,25000.0,20000.0,Servicios,Abierto simplificado
7025801,16583.61,10998.24,Servicios,Abierto simplificado
7025803,56875.0,50050.0,Suministros,Abierto simplificado
7025805,260000.0,55415.0,Servicios,Abierto
7025808,54978.98,54478.98,Obras,Abierto simplificado
7025811,184000.0,156900.0,Suministros,Abierto
7025814,40508.64,27108.0,Obras,Abierto simplificado
7025815,131108.7,91827.89,Servicios,Abierto
7025817,59341.0,51600.0,Suministros,Abierto simplificado
7025819,50000.0,48995.0,Suministros,Abierto simplificado
7025821,41343.52,15113.68,Suministros,Abierto simplificado
7025822,32810.0,31550.0,Suministros,Abierto simplificado
7025832,17400.0,8149.42,Suministros,Abierto simplificado
7025833,43200.0,32940.0,Obras,Abierto simplificado
7025835,26000.0,13000.0,Servicios,Abierto simplificado
7025836,7500.0,2500.0,Servicios,Abierto simplificado
7025837,213500.0,213500.0,Suministros,Abierto
7025841,15486.5,15486.5,Servicios,Abierto simplificado
7025843,10664.1,3526.58,Servicios,Abierto simplificado
7025845,43256.74,37188.43,Obras,Abierto simplificado
7025846,98518.6,26592.38,Suministros,Abierto simplificado
7025851,213780.0,213780.0,Suministros,Abierto
7025853,200000.0,156000.0,Obras,Abierto
7025854,276988.15,131899.12,Suministros,Abierto
7025855,184576.32,38135.6,Servicios,Abierto
7025856,168471.0,56157.0,Servicios,Abierto
7025861,39650.0,25798.35,Servicios,Abierto simplificado
7025862,390855.17,174240.0,Suministros,Abierto
7025867,17053.79,17053.79,Suministros,Abierto simplificado
7025868,17446.0,7586.0,Suministros,Abierto
7025869,65385.52,64885.52,Obras,Abierto simplificado
7025872,28000.0,20296.35,Servicios,Abierto
7025874,22800.0,18980.18,Suministros,Abierto simplificado
7025876,254545.46,115702.48,Servicios,Abierto
7025877,41302.53,36552.74,Obras,Abierto simplificado
7025880,102190.54,67253.74,Suministros,Abierto
7025881,59504.14,23801.28,Servicios,Abierto simplificado
7025886,273082.9,251236.27,Obras,Abierto
7025888,43370.0,20644.0,Suministros,Abierto
7025889,55385.01,45717.91,Obras,Abierto simplificado
7025894,22000.0,18000.0,Suministros,Abierto simplificado
7025902,53827.44,50362.59,Obras,Abierto
7025904,53190.68,53181.36,Servicios,Abierto simplificado
7025907,135000.0,83754.0,Servicios,Abierto
7025909,61760.03,56139.87,Obras,Abierto simplificado
7025913,244218.99,243246.48,Obras,Abierto simplificado
7025914,190000.0,95000.0,Suministros,Abierto
7025916,209014.0,72659.0,Servicios,Abierto
7025917,38400.0,38400.0,Servicios,Abierto simplificado
7025923,84255.5,45136.88,Suministros,Abierto simplificado
7025924,131188.78,56929.8,Suministros,Abierto
7025925,28321.53,22637.4,Suministros,Abierto
7025929,78756.08,66052.73,Obras,Abierto simplificado
7025943,20000.0,10881.0,Suministros,Abierto simplificado
7025948,23040.5,9140.0,Servicios,Abierto
7025966,377780.81,335779.5,Obras,Abierto
7025969,14462.81,5165.29,Servicios,Abierto simplificado
7025970,43968.42,43304.17,Obras,Abierto simplificado
7025972,180000.0,180000.0,Suministros,Abierto
7025975,19177.2,7690.16,Suministros,Abierto simplificado
7025978,79984.51,58764.52,Obras,Abierto
7025979,48600.0,40500.0,Suministros,Abierto simplificado
7025983,40397.5,25012.6,Servicios,Abierto
7025985,40397.5,24622.8,Servicios,Abierto
7025986,218879.38,156279.91,Servicios,Abierto
7026290,61983.47,61983.47,Obras,Abierto simplificado
7026291,26747.7,25611.2,Servicios,Abierto simplificado
7026292,56300.0,32628.8,Suministros,Abierto simplificado
7026295,97685.96,37927.25,Servicios,Abierto simplificado
7026296,171000.0,111430.0,Servicios,Abierto
7026301,455318.91,355471.0,Obras,Abierto simplificado
7026302,163978.38,77151.12,Servicios,Abierto
7026303,119605.68,89728.18,Obras,Abierto simplificado
7026612,126773.82,90805.68,Obras,Abierto simplificado
7030150,320000.0,54656.8,Servicios,Abierto
7030151,387156.89,204375.96,Suministros,Abierto
7030152,432000.31,136422.0,Servicios,Abierto
7030155,390592.64,235678.27,Suministros,Abierto
7030159,299250.0,19200.0,Servicios,Abierto
7030168,249000.0,232050.0,Servicios,Abierto
7030278,96662.53,69900.0,Obras,Abierto simplificado
7030286,228000.0,77925.38,Servicios,Abierto
7030288,12396.69,9495.54,Servicios,Abierto simplificado
7030291,287668.71,85615.69,Suministros,Abierto
7033595,350000.0,349000.0,Servicios,Abierto
7033596,249189.48,249189.45,Servicios,Abierto
7033599,476033.06,252998.0,Servicios,Abierto
7033605,519289.84,288729.65,Suministros,Abierto
7033607,93943.05,30264.0,Servicios,Abierto simplificado
7033608,43600.0,30000.0,Suministros,Abierto simplificado
7033613,13584.0,6215.0,Servicios,Abierto simplificado
7033615,14500.0,3928.0,Suministros,Abierto
7033617,14500.0,11570.2,Suministros,Abierto
7033618,118813.76,118643.08,Servicios,Abierto simplificado
7033620,34509.84,16953.16,Servicios,Abierto simplificado
7033677,34990.98,32921.06,Suministros,Abierto simplificado
7033692,248000.0,142000.0,Servicios,Abierto
7033996,312176.04,136450.2,Servicios,Abierto
7033997,23760.0,10300.0,Servicios,Abierto simplificado
7034000,69548.26,20000.0,Servicios,Abierto simplificado
7034002,64355.18,57150.0,Servicios,Abierto simplificado
7034004,399842.94,273892.41,Obras,Abierto simplificado
7034005,70060.0,35030.0,Servicios,Abierto
7034006,88000.0,84034.92,Suministros,Abierto
7034008,182500.0,182500.0,Servicios,Abierto
7034009,22900.0,22900.0,Servicios,Abierto
7034012,84836.9,84836.9,Obras,Abierto simplificado
7034014,12677.64,3296.19,Servicios,Abierto simplificado
7034016,107433.58,98430.65,Obras,Abierto simplificado
7034018,80000.0,20980.0,Servicios,Abierto
7034022,39975.0,12600.0,Servicios,Abierto simplificado
7034031,18480.0,11494.83,Servicios,Abierto simplificado
7034033,72124.97,23440.62,Servicios,Abierto simplificado
7034035,100800.0,17933.67,Servicios,Abierto simplificado
7034037,110971.8,13262.76,Suministros,Abierto
7034041,171481.0,25762.0,Servicios,Abierto
7034042,72000.0,64800.0,Servicios,Abierto simplificado
7034043,94858.83,93800.0,Obras,Abierto simplificado
7034051,24000.0,23980.0,Suministros,Abierto simplificado
7034054,323592.24,230624.19,Obras,Abierto simplificado
7034056,80000.0,76600.0,Suministros,Abierto simplificado
7034057,42900.0,35607.0,Suministros,Abierto simplificado
7034058,111090.03,7.55,Suministros,Abierto simplificado
7034060,92570.4,81761.49,Servicios,Abierto simplificado
7034062,86322.26,79700.0,Obras,Abierto simplificado
7034064,193176.0,89400.0,Servicios,Abierto
7034065,36550.0,30536.08,Suministros,Abierto
7034071,5500.0,5000.0,Servicios,Abierto simplificado
7034074,9075.0,1815.0,Servicios,Abierto simplificado
7034079,82631.82,71890.0,Obras,Abierto simplificado
7034080,40000.0,36701.3,Suministros,Abierto simplificado
7034081,150000.0,101007.0,Suministros,Abierto
7034086,299517.32,184266.25,Obras,Abierto simplificado
7034087,44251.79,37900.0,Suministros,Abierto simplificado
7034090,207748.0,101688.0,Servicios,Abierto
7034094,329205.36,220400.0,Obras,Abierto simplificado
7034095,90708.68,77102.34,Servicios,Abierto simplificado
7034098,44495.0,34698.41,Suministros,Abierto simplificado
7034099,197100.83,158863.0,Obras,Abierto simplificado
7034106,48467.34,42808.54,Obras,Abierto simplificado
7034108,187364.74,129038.1,Obras,Abierto simplificado
7034109,30150.0,13089.0,Servicios,Abierto simplificado
7034113,128949.94,106570.2,Suministros,Abierto
7034114,267330.96,182131.24,Obras,Abierto
7034117,378000.0,218000.0,Servicios,Abierto
7034121,35000.0,26250.0,Servicios,Abierto
7034124,464592.22,318663.8,Obras,Abierto simplificado
7034128,49586.78,49586.759999999995,Suministros,Abierto simplificado
7034129,41202.19,37081.97,Obras,Abierto simplificado
7034130,24173.55,123.97,Servicios,Abierto simplificado
7034132,16528.9,1980.0,Servicios,Abierto simplificado
7034134,180000.0,135000.0,Servicios,Abierto
