precio_lici,tipo_cont,tipo_pro,por_adj
22819.63,Servicios,Abierto simplificado,0.311591567515241
71993.4,Servicios,Abierto simplificado,0.02123034485594471
219059.61,Obras,Abierto simplificado,0.038335184551947385
34980.0,Suministros,Abierto simplificado,0.53
42945.09,Obras,Abierto simplificado,0.021895580508351293
279881.51,Suministros,Abierto,0.0018989965533954825
526421.61,Servicios,Abierto,0.058377061407158294
319400.0,Servicios,Abierto,1.1908333333333334
56528.92,Suministros,Abierto,0.001427866148113207
150000.0,Suministros,Abierto,2.37864769075273
198347.12,Suministros,Abierto,0.020987764267565212
28000.0,Servicios,Abierto simplificado,0.00863344844597928
128630.0,Servicios,Abierto,0.07308522727272727
76344.33,Suministros,Abierto simplificado,0.13379670044171416
66000.0,Servicios,Abierto simplificado,0.006467053555162485
23600.0,Servicios,Abierto simplificado,0.043268124280782506
661.16,Servicios,Abierto simplificado,2.310924369747899e-05
168013.25,Servicios,Abierto,0.004491810421220535
248000.0,Servicios,Abierto,0.05376571535772076
1400.0,Servicios,Abierto simplificado,2.0540676018831893e-05
136500.0,Servicios,Abierto,0.0175399060747153
361561.45,Servicios,Abierto,0.1174462818287037
47016.0,Servicios,Abierto simplificado,0.01606434512347133
740000.0,Servicios,Abierto,5.9345520107212755
440000.0,Suministros,Abierto,5.5846162437871145
27300.24,Servicios,Abierto,0.012176472014611767
434724.4,Suministros,Abierto,1.1430764235843702
80000.0,Servicios,Abierto simplificado,0.042821480576540734
480000.0,Suministros,Abierto,1.1820987654320987
99556.8,Servicios,Abierto simplificado,0.003349520536968069
89902.35,Obras,Abierto simplificado,0.14144623391340327
48000.0,Suministros,Abierto,0.6486545454545455
72575.2,Servicios,Abierto,0.030244546594233177
73978.8,Servicios,Abierto simplificado,0.024871175
328346.0,Servicios,Abierto,0.17638080808080808
360000.0,Servicios,Abierto,0.029123111825812096
30800.0,Servicios,Abierto simplificado,0.007531242331825989
121072.9,Servicios,Abierto,0.0015694959264538808
267077.84,Servicios,Abierto,0.009607415933693967
85000.0,Servicios,Abierto simplificado,0.002115891697215255
497354.87,Obras,Abierto simplificado,0.8767115400159966
128873.3,Obras,Abierto simplificado,0.2493946948384126
73500.0,Servicios,Abierto,0.1339793285721648
34970.0,Servicios,Abierto simplificado,0.005037345241560079
16800.0,Servicios,Abierto,0.0012677770256920378
390000.0,Servicios,Abierto,0.2577941073819541
67647.08,Servicios,Abierto,0.1127808988764045
50000.0,Servicios,Abierto simplificado,0.3087121212121212
92561.98,Suministros,Abierto simplificado,0.012334537373061989
64311.0,Suministros,Abierto simplificado,0.4947
88000.0,Servicios,Abierto,0.0271230329171097
72000.0,Servicios,Abierto,0.005005561735261402
100160.0,Suministros,Abierto,0.19394401709401707
624793.4,Servicios,Abierto,0.04980279726027487
64315.2,Servicios,Abierto simplificado,0.01014799154334038
89443.08,Obras,Abierto simplificado,0.8302112811329231
409137.55,Servicios,Abierto,2.3319578911331735
432000.0,Servicios,Abierto,6.89917375
94690.23,Obras,Abierto simplificado,1.9745015
53600.0,Servicios,Abierto simplificado,0.02358217688548716
243843.08,Obras,Abierto simplificado,1.0683548049047045
429752.06,Servicios,Abierto,0.07570588152708477
147310.1,Obras,Abierto simplificado,0.032546899920007116
172375.7,Servicios,Abierto,2.5416255620072326
19725.04,Servicios,Abierto simplificado,0.00016118983376968156
386186.4,Servicios,Abierto,0.014068015686274509
158967.94,Obras,Abierto simplificado,0.5955720946083239
696308.34,Servicios,Abierto,6.472453846153846
494150.0,Servicios,Abierto,0.26954052191150624
510000.0,Servicios,Abierto,0.14166666666666666
25619.84,Servicios,Abierto simplificado,0.008036285863462361
67500.0,Servicios,Abierto simplificado,0.22842285714285712
159504.26,Servicios,Abierto,0.002855565783144712
72000.0,Servicios,Abierto simplificado,0.17825064813916228
530162.13,Servicios,Abierto,0.14667665337928906
33642.58,Suministros,Abierto simplificado,0.0011106965990354154
254545.46,Servicios,Abierto,0.10606060833333333
29580.62,Suministros,Abierto,0.32975970473647526
204780.0,Servicios,Abierto,0.02803074643224874
150754.4,Suministros,Abierto,0.016417420191670633
51928.32,Obras,Abierto simplificado,1.7309440137068792
168224.3,Servicios,Abierto,0.039675542452830184
180000.0,Servicios,Abierto,0.05217085437533161
153185.17,Servicios,Abierto,0.00015360246198406951
450000.0,Servicios,Abierto,0.9277026060323651
538135.4,Servicios,Abierto,0.06389914281230893
501033.36,Servicios,Abierto,0.6710267857142858
36288.0,Servicios,Abierto simplificado,0.010022815494384489
