num_paralela,num_x,tercero,cod_op,op_2021,apli,importe,exp_gasto,exp_gestor,num_error,error
00159222B10001237,00159221310034888,*,2001000,00159221330001388,20221403  122M1  668,900062.00,103000003267,2011140030003030373,1,Los campos DIR3 son requeridos
00159222B10001238,00159221310059139,000A79534384,2002300,00159221330002507,20221403  122M1  668,900062.00,033062100190,2011140030003030373,1,La aplicación 20221403  122M1  668      no existe en la operación 00159221310034888
00159222B10001238,00159221310059139,000A79534384,2002300,00159221330002507,20221403  122M1  668,900062.00,033062100190,2011140030003030373,2,Insuficiencia de saldo en situación aplicación 20221403  122M1  668     de importe TBSITGASCOR.
00159222B10001238,00159221310059139,000A79534384,2002300,00159221330002507,20221403  122M1  668,900062.00,033062100190,2011140030003030373,3,Insuficiencia de saldo en Superproyecto-Aplicación 20221403  122M   668     de importe 900062.
00159222B10001238,00159221310059139,000A79534384,2002300,00159221330002507,20221403  122M1  668,900062.00,033062100190,2011140030003030373,4,Insuficiencia de saldo en Proyecto-Aplicación 20221403  122M   668     de importe 900062.
00159222B10001238,00159221310059139,000A79534384,2002300,00159221330002507,20221403  122M1  668,900062.00,033062100190,2011140030003030373,5,Clave 20221403  122M   668     inexistente en el fichero de importes TBSITEXPEDIENTE.
00159222B10001239,00159221310034891,*,2001000,00159221330001389,20221403  122M1  668,834714.00,103000003268,2011140030003030374,1,Los campos DIR3 son requeridos
00159222B10001240,00159221310059136,000A79534384,2002300,00159221330002506,20221403  122M1  668,834714.00,033062100191,2011140030003030374,1,La aplicación 20221403  122M1  668      no existe en la operación 00159221310034891
00159222B10001240,00159221310059136,000A79534384,2002300,00159221330002506,20221403  122M1  668,834714.00,033062100191,2011140030003030374,2,Insuficiencia de saldo en situación aplicación 20221403  122M1  668     de importe TBSITGASCOR.
00159222B10001240,00159221310059136,000A79534384,2002300,00159221330002506,20221403  122M1  668,834714.00,033062100191,2011140030003030374,3,Insuficiencia de saldo en Superproyecto-Aplicación 20221403  122M   668     de importe 834714.
00159222B10001240,00159221310059136,000A79534384,2002300,00159221330002506,20221403  122M1  668,834714.00,033062100191,2011140030003030374,4,Insuficiencia de saldo en Proyecto-Aplicación 20221403  122M   668     de importe 834714.
00159222B10001240,00159221310059136,000A79534384,2002300,00159221330002506,20221403  122M1  668,834714.00,033062100191,2011140030003030374,5,Clave 20221403  122M   668     inexistente en el fichero de importes TBSITEXPEDIENTE.
00159222B10001241,*,*,2001000,00159221330001316,20221403  122M1  668,400000.00,400000010128,2011140030003030379,1,Los campos DIR3 son requeridos
00159222B10001242,*,000A28157493,2002300,00159221330003701,20221403  122M1  668,400000.00,223012100642,2011140030003030379,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10001242
00159222B10001243,*,*,2001000,00159221330001451,20221403  122M1  668,102000.00,102000001189,2011140030003030464,1,Los campos DIR3 son requeridos
00159222B10001244,*,000A78053147,2002300,00159221330002091,20221403  122M1  668,102000.00,021012100348,2011140030003030464,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10001244
00159222B10001245,*,*,2001000,00159221330001454,20221403  122M1  668,254000.00,102000001191,2011140030003030465,1,Los campos DIR3 son requeridos
00159222B10001246,*,000A81286759,2002300,00159221330002089,20221403  122M1  668,254000.00,021012100351,2011140030003030465,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10001246
00159222B10001247,*,*,2001000,00159221330001450,20221403  122M1  668,408000.00,102000001188,2011140030003030466,1,Los campos DIR3 son requeridos
00159222B10001248,*,000B85908093,2002300,00159221330002195,20221403  122M1  668,408000.00,021012100347,2011140030003030466,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10001248
00159222B10001249,*,*,2001000,00159221330001452,20221403  122M1  668,510000.00,102000001190,2011140030003030467,1,Los campos DIR3 son requeridos
00159222B10001250,*,000A79197356,2002300,00159221330002090,20221403  122M1  668,510000.00,021012100349,2011140030003030467,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10001250
00159222B10001251,*,*,2001000,00159221330001453,20221403  122M1  668,1650000.00,102000001193,2011140030003030468,1,Los campos DIR3 son requeridos
00159222B10001252,*,000A28599033,2002300,00159221330001946,20221403  122M1  668,1650000.00,021012100350,2011140030003030468,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10001252
00159222B10001384,*,*,2001000,00159220330001216,20221403  121M2  660,964358.12,103000003143,2015140030002000058,1,Los campos DIR3 son requeridos
00159222B10001385,*,000A78053147,2002300,00159220330004251,20221403  121M2  660,964358.12,103000009490,2015140030002000058,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10001385
00159222B10001388,*,*,2001000,00159221330000342,20221403  121M2  660,1249414.62,103000000829,2015140030006000057,1,Los campos DIR3 son requeridos
00159222B10001389,*,000A82018474,2002300,00159221330001277,20221403  121M2  660,1249414.62,103000003158,2015140030006000057,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10001389
00159222B10001390,*,*,2001000,00159221330000981,20221403  121M2  660,9556353.33,103000002514,2015140030008000050,1,Los campos DIR3 son requeridos
00159222B10001391,*,000A28010791,2002300,00159221330001945,20221403  121M2  660,9556353.33,033042100410,2015140030008000050,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10001391
00159222B10001392,*,*,2001000,00159221330000516,20221403  121M2  660,2689156.08,103000001472,2015140030009000070,1,Los campos DIR3 son requeridos
00159222B10001393,*,000A82018474,2002300,00159221330004066,20221403  121M2  660,2689156.08,033042100327,2015140030009000070,1,La operación de enlace no está todavía contabilizada para la operacion de la paralela interna 00159222B10001393
00159222B10001394,*,*,2001000,00159221330000911,20221403  121M2  660,196774.14,103000002424,2015140030010000030,1,Los campos DIR3 son requeridos
